1* Populacao:
Posicao: [837, 0.2233, 9, 1.0, 0.9779, 4, 3, 1, 9] | Acuracia: 86.1% | Precisao: 72.6% | Recall: 74.5% | Media: 77.3%
Posicao: [757, 0.2118, 11, 0.777, 0.6641, 0, 3, 3, 1] | Acuracia: 95.7% | Precisao: 92.4% | Recall: 90.4% | Media: 92.8%
Posicao: [733, 0.3, 3, 0.8607, 0.5, 2, 3, 2, 4] | Acuracia: 82.3% | Precisao: 65.9% | Recall: 67.4% | Media: 71.1%
Posicao: [689, 0.3, 7, 0.9067, 0.5, 2, 3, 3, 1] | Acuracia: 87.0% | Precisao: 74.3% | Recall: 74.6% | Media: 78.2%
Posicao: [615, 0.2184, 11, 1.0, 0.7151, 0, 0, 2, 6] | Acuracia: 95.9% | Precisao: 92.8% | Recall: 90.6% | Media: 93.1%
Posicao: [739, 0.2327, 12, 1.0, 0.8748, 3, 2, 2, 1] | Acuracia: 88.5% | Precisao: 77.1% | Recall: 77.9% | Media: 80.8%
Posicao: [390, 0.284, 3, 0.8842, 1.0, 3, 3, 3, 1] | Acuracia: 81.4% | Precisao: 65.0% | Recall: 67.5% | Media: 70.6%
Posicao: [339, 0.1498, 12, 0.7081, 1.0, 4, 1, 3, 8] | Acuracia: 89.9% | Precisao: 79.9% | Recall: 80.0% | Media: 83.0%
Posicao: [1000, 0.2383, 3, 0.9078, 0.5, 4, 0, 2, 9] | Acuracia: 81.9% | Precisao: 65.4% | Recall: 67.3% | Media: 70.8%
Posicao: [475, 0.01, 11, 0.639, 0.595, 0, 0, 1, 7] | Acuracia: 82.5% | Precisao: 68.1% | Recall: 73.6% | Media: 74.3%
Posicao: [1000, 0.01, 7, 0.6546, 0.8685, 3, 2, 0, 3] | Acuracia: 80.7% | Precisao: 65.5% | Recall: 70.5% | Media: 71.7%
Posicao: [300, 0.2678, 11, 0.766, 0.8847, 0, 2, 0, 10] | Acuracia: 93.5% | Precisao: 87.5% | Recall: 86.1% | Media: 88.9%
Posicao: [140, 0.1312, 11, 0.973, 0.537, 1, 0, 1, 1] | Acuracia: 86.9% | Precisao: 74.0% | Recall: 75.1% | Media: 78.3%
Posicao: [342, 0.03, 3, 0.9916, 0.7066, 0, 0, 3, 8] | Acuracia: 76.3% | Precisao: 63.0% | Recall: 70.4% | Media: 69.4%
Posicao: [492, 0.0386, 7, 0.9557, 1.0, 1, 2, 3, 1] | Acuracia: 82.5% | Precisao: 67.2% | Recall: 70.9% | Media: 73.0%
Posicao: [908, 0.1411, 12, 0.8033, 0.8427, 1, 3, 2, 2] | Acuracia: 94.4% | Precisao: 89.8% | Recall: 87.7% | Media: 90.5%
Posicao: [599, 0.1473, 6, 1.0, 0.6636, 1, 0, 1, 4] | Acuracia: 85.4% | Precisao: 71.2% | Recall: 71.9% | Media: 75.7%
Posicao: [205, 0.01, 12, 0.6204, 0.748, 1, 0, 3, 10] | Acuracia: 81.2% | Precisao: 67.4% | Recall: 74.6% | Media: 74.0%
Posicao: [640, 0.2855, 10, 0.6925, 0.822, 0, 0, 3, 3] | Acuracia: 95.8% | Precisao: 92.5% | Recall: 90.6% | Media: 92.9%
Posicao: [336, 0.1402, 6, 0.9211, 1.0, 5, 0, 0, 7] | Acuracia: 83.7% | Precisao: 68.6% | Recall: 70.8% | Media: 73.8%
Posicao: [477, 0.1403, 3, 1.0, 1.0, 4, 0, 3, 5] | Acuracia: 80.6% | Precisao: 64.5% | Recall: 68.0% | Media: 70.4%
Posicao: [442, 0.1663, 10, 0.6405, 0.5703, 0, 0, 2, 4] | Acuracia: 92.0% | Precisao: 84.5% | Recall: 83.0% | Media: 86.3%
Posicao: [610, 0.3, 12, 0.6156, 0.6405, 4, 2, 0, 1] | Acuracia: 90.6% | Precisao: 81.6% | Recall: 81.1% | Media: 84.2%
Posicao: [565, 0.1165, 10, 0.6149, 0.5245, 0, 2, 1, 1] | Acuracia: 91.0% | Precisao: 82.6% | Recall: 81.0% | Media: 84.6%
Posicao: [690, 0.2054, 6, 0.9751, 0.6693, 0, 2, 1, 6] | Acuracia: 87.3% | Precisao: 74.9% | Recall: 74.9% | Media: 78.6%
Posicao: [383, 0.213, 12, 1.0, 0.5, 4, 0, 1, 10] | Acuracia: 87.4% | Precisao: 75.0% | Recall: 76.0% | Media: 79.1%
Posicao: [603, 0.3, 12, 0.8429, 0.9449, 5, 0, 0, 8] | Acuracia: 89.8% | Precisao: 79.6% | Recall: 80.3% | Media: 83.0%
Posicao: [288, 0.0795, 12, 0.9766, 0.7937, 3, 3, 1, 8] | Acuracia: 88.7% | Precisao: 77.5% | Recall: 78.1% | Media: 81.1%

Melhor Posicao: [615, 0.2184, 11, 1.0, 0.7151, 0, 0, 2, 6] | Acuracia: 95.9% | Precisao: 92.8% | Recall: 90.6% | Media: 93.1%

3* Interacao:
Posicao: [401, 0.068, 5, 0.8151, 0.7678, 0, 0, 1, 7] | Acuracia: 81.0% | Precisao: 65.2% | Recall: 69.0% | Media: 71.1%
Posicao: [785, 0.1658, 12, 0.9, 0.9053, 3, 1, 2, 1] | Acuracia: 91.0% | Precisao: 82.3% | Recall: 81.8% | Media: 84.8%
Posicao: [960, 0.0586, 7, 0.9615, 0.7898, 3, 3, 1, 6] | Acuracia: 85.2% | Precisao: 70.9% | Recall: 72.6% | Media: 75.7%
Posicao: [1000, 0.1629, 9, 0.566, 1.0, 0, 1, 2, 3] | Acuracia: 95.2% | Precisao: 91.2% | Recall: 89.2% | Media: 91.8%
Posicao: [677, 0.2419, 11, 1.0, 0.8779, 3, 2, 1, 10] | Acuracia: 88.1% | Precisao: 76.3% | Recall: 77.1% | Media: 80.2%
Posicao: [767, 0.2348, 12, 0.8477, 0.7641, 0, 2, 2, 2] | Acuracia: 96.6% | Precisao: 94.1% | Recall: 92.0% | Media: 94.2%
Posicao: [913, 0.2552, 5, 0.8072, 0.5, 1, 3, 2, 2] | Acuracia: 86.0% | Precisao: 72.3% | Recall: 72.5% | Media: 76.4%
Posicao: [869, 0.2688, 9, 0.9239, 0.6, 1, 3, 3, 1] | Acuracia: 91.7% | Precisao: 83.9% | Recall: 82.7% | Media: 85.9%
Posicao: [730, 0.2662, 12, 1.0, 0.6686, 0, 0, 2, 4] | Acuracia: 96.8% | Precisao: 94.4% | Recall: 92.5% | Media: 94.5%
Posicao: [731, 0.207, 10, 1.0, 0.7748, 2, 1, 2, 3] | Acuracia: 88.4% | Precisao: 76.9% | Recall: 77.4% | Media: 80.6%
